Task ID,H2,O2,N2,C,H2O,H2O2,CO2,CO,CH4,NH3,NO,N2O,H2CO3,CH3OH,H2NCONH2,NO2,HNO3,NH4NO3,C6H6,C6H5OH,HOC6H4NO2,CH3COOH,H2NC6H4OH,HOC6H4NHCOCH3
d76b0eec-2ebc-47a8-873b-663a7f05495a,10,,,,,,,,,,,,,,,,,,,,,,,
ad6749f4-8d56-4031-8f95-c6d4f606064d,,10,,,,,,,,,,,,,,,,,,,,,,
ee79015c-d0f4-4349-81ea-5ef3d513074c,,,,,25,,,,,,,,,,,,,,,,,,,
6c64c93f-5c74-40e6-acb8-9002a0eabb94,,,,,,25,,,,,,,,,,,,,,,,,,
78c431e2-d011-4456-a081-48ea5f8dc702,,,,,,,50,,,,,,,,,,,,,,,,,
1ffed161-67d7-47e2-a8be-e9fd049d2850,,,,,,,,25,,,,,,,,,,,,,,,,
,,,,100,,,,,,,,,,,,,,,,,,,,
64721246-11ae-4a58-aed8-4ebe94b7c3c4,,,,,20,,,,,,,,,,,,,,,,,,,
21d9588f-9b9b-43cf-a83f-751206631266,,,,,,,,,50,,,,,,,,,,,,,,,
,200,,,,,,,,,,,,,,,,,,,,,,,
6f0df356-f0fa-4553-861d-8c0140d52bf6,,,,,,,75,,,,,,,,,,,,,,,,,
de7fb8a5-dc91-42fe-8dfa-a1f24dc59bc7,,,,,,,,,,,,,,50,,,,,,,,,,
,,,50,,,,,,,,,,,,,,,,,,,,,
eb09acdc-88c7-4e04-adaf-e31cb71bb5ae,,,,,,,,,,,,,,,,75,,,,,,,,
c4162f7a-957f-42ef-a013-ba4ac714abe5,,,,,,,150,,,,,,,,,,,,,,,,,
57670aea-1dfe-485f-8001-aa984b05365e,,,,,,,,,,200,,,,,,,,,,,,,,
,,150,,,,,,,,,,,,,,,,,,,,,,
1007f651-1596-49e7-bf27-c30b2441a4b4,,,,,,,,,,,,25,,,,,,,,,,,,
6bdeca53-5887-47bb-878e-fe473f65c6f7,,,,,,,,,,,80,,,,,,,,,,,,,
35c8fefc-acb7-48b9-839f-c6efc6fca1e7,,,,,,,,,,,,,,,,100,,,,,,,,
,,,,,150,,,,,,,,,,,,,,,,,,,
29735705-f700-48c9-840b-82c0da85a929,,,,,,,,,,,,,,,,,50,,,,,,,
261bc940-91f1-4b24-a70a-7cb7cacb2186,,,,,,,,,,,,,,,25,,,,,,,,,
,,,,,,,200,,,,,,,,,,,,,,,,,
04cbd878-e0ca-4e31-89da-54faf29bdbd0,,,,,,,,,,,,,,,,,,25,,,,,,
,,,,500,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,50,,,,,
,,,,,,,,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,25,,,,
,,,500,,,,,,,,,,,,,,,,,,,,,
,,,,,,300,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,50,,,
,,,,,,,,,300,,,,,,,,,,,,,,,
,400,,,,,,,,,,,,,,,,,,,,,,,
,,750,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,100,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,50,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25,
,,,,,200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,300,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,75,,,,,
,,,,,,,,,,,,,,,,150,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,75,,,
,,,,,,,,,,,,,,,,,,,,,,,,1000
